"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-crowned Brilliant","Green-fronted Lancebill","Green Violetear","Hoary Puffleg","Rufous-tailed Hummingbird","Sparkling Violetear","Speckled Hummingbird","Stripe-throated Hermit","Tawny-bellied Hermit","Violet-tailed Sylph","White-whiskered Hermit"
"Besleria solanoides",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"Bomarea pardina",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Centropogon solanifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Columnea ciliata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"Columnea medicinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Columnea picta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Columnea strigosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Drymonia collegarum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Drymonia tenuis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Gasteranthus quitensis",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"Glossoloma oblongicalyx",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Glossoloma purpureum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Guzmania amplectens",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Guzmania jaramilloi",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Guzmania squarrosa",0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0
"Heliconia griggsiana",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Macleania bullata",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania macrantha",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania stricta",0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Meriania tomentosa",1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"Palicourea acetosoides",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Palicourea demissa",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
"Psammisia aberrans",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Psammisia sodiroi",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"Salvia quitensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sarcopera anomala",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"Stromanthe stromanthoides",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
