"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-crowned Brilliant","Green-fronted Lancebill","Rufous-tailed Hummingbird","Speckled Hummingbird","Tawny-bellied Hermit","Violet-tailed Sylph","White-whiskered Hermit"
"Bomarea pardina",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Centropogon solanifolius",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Columnea ciliata",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Columnea strigosa",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Drymonia collegarum",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia tenuis",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Gasteranthus quitensis",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Glossoloma oblongicalyx",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Glossoloma purpureum",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Guzmania amplectens",0,1,0,0,0,0,0,0,0,0,0,0,1,1
"Guzmania jaramilloi",0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Guzmania squarrosa",0,1,0,1,0,0,1,0,0,0,1,1,1,0
"Heliconia griggsiana",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Macleania stricta",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Meriania tomentosa",0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Palicourea acetosoides",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Palicourea demissa",1,0,0,0,1,0,0,0,0,1,0,0,0,1
"Psammisia aberrans",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Sarcopera anomala",1,0,0,0,0,0,0,0,0,0,0,0,0,0
